dataset,task,model,fold,seed,accuracy,auroc,auprc,es,mae,mse,rmse,r2,osmae
tjh,los,Agent,2,0,,,,,4.270646095,37.97262573,6.162193298,0.220643818,
tjh,los,Agent,3,0,,,,,4.490055561,34.34286118,5.86027813,0.198460102,
tjh,los,Agent,4,0,,,,,5.829319,67.86441803,8.237986565,-0.154825687,
tjh,los,Agent,5,0,,,,,4.594695091,34.57094574,5.879706383,0.135799646,
tjh,los,Agent,6,0,,,,,5.014258862,45.33602524,6.733203411,0.117827535,
tjh,los,Agent,7,0,,,,,3.766483068,27.35274315,5.229985237,0.149544239,
tjh,los,Agent,8,0,,,,,4.826336384,39.60691071,6.293402195,0.160763681,
tjh,los,Agent,9,0,,,,,5.043291569,52.14700699,7.221288681,0.066456795,
tjh,los,GRASP,0,0,,,,,4.345465183,44.91968918,6.702215195,-0.098535895,
tjh,los,GRASP,1,0,,,,,4.439731598,35.86991882,5.989150047,0.214214504,
tjh,los,GRASP,2,0,,,,,4.702466965,47.35157394,6.881247997,0.02814877,
tjh,los,GRASP,3,0,,,,,4.161705017,29.02502823,5.387487888,0.322574854,
tjh,los,GRASP,4,0,,,,,5.502452374,63.40339661,7.962625027,-0.078914046,
tjh,los,GRASP,5,0,,,,,4.365643024,33.35342407,5.775242329,0.166235149,
tjh,los,GRASP,6,0,,,,,4.613689899,46.21602249,6.798236847,0.100704134,
tjh,los,GRASP,7,0,,,,,3.905465841,24.40627098,4.940270424,0.241156399,
tjh,los,GRASP,8,0,,,,,4.521771908,32.91550446,5.737203598,0.302548826,
tjh,los,GRASP,9,0,,,,,4.963666439,48.24103546,6.945576668,0.136382103,
tjh,los,GRU,0,0,,,,,4.119437695,37.37352371,6.113389015,0.086009741,
tjh,los,GRU,1,0,,,,,4.374666214,33.54853821,5.792109966,0.265067875,
tjh,los,GRU,2,0,,,,,4.086186409,30.78133583,5.548092842,0.368238986,
tjh,los,GRU,3,0,,,,,3.90432477,26.53364372,5.151081562,0.380722165,
tjh,los,GRU,4,0,,,,,5.332283497,55.94213867,7.479447842,0.048051655,
tjh,los,GRU,5,0,,,,,4.16241169,26.6353035,5.16094017,0.334173858,
tjh,los,GRU,6,0,,,,,4.81896162,43.07015991,6.562786102,0.161917984,
tjh,los,GRU,7,0,,,,,3.565297604,24.85786438,4.985766411,0.227115393,
tjh,los,GRU,8,0,,,,,4.351318359,30.88341522,5.557284832,0.345607042,
tjh,los,GRU,9,0,,,,,4.538956642,41.34786987,6.430231094,0.25978452,
tjh,los,LSTM,0,0,,,,,4.648008347,45.84033585,6.770549297,-0.121050835,
tjh,los,LSTM,1,0,,,,,3.982717276,27.13524628,5.209150314,0.405560911,
tjh,los,LSTM,2,0,,,,,4.256301403,32.65361786,5.714334488,0.32981199,
tjh,los,LSTM,3,0,,,,,3.750746489,22.95224762,4.790850639,0.464309573,
tjh,los,LSTM,4,0,,,,,5.645769119,64.11525726,8.007200241,-0.091027498,
tjh,los,LSTM,5,0,,,,,4.35432148,32.53208923,5.703691006,0.186766744,
tjh,los,LSTM,6,0,,,,,4.96961689,44.74045944,6.688830853,0.129416466,
tjh,los,LSTM,7,0,,,,,3.579944611,23.7105484,4.869348049,0.262787938,
tjh,los,LSTM,8,0,,,,,4.835509777,35.79536438,5.982922554,0.241527021,
tjh,los,LSTM,9,0,,,,,4.856011391,44.3117981,6.656710625,0.206723809,
tjh,los,MLP,0,0,,,,,5.117321491,52.14683533,7.22127676,-0.27527976,
tjh,los,MLP,1,0,,,,,4.710276127,38.64787674,6.216741562,0.153359115,
tjh,los,MLP,2,0,,,,,5.041789055,50.2433548,7.088254929,-0.031202555,
tjh,los,MLP,3,0,,,,,4.667048454,36.10883331,6.009062767,0.15724355,
tjh,los,MLP,4,0,,,,,5.881866932,60.25375366,7.762329102,-0.02531755,
tjh,los,MLP,5,0,,,,,4.923348904,37.09729767,6.090754986,0.072646201,
tjh,los,MLP,6,0,,,,,5.242996216,56.1367836,7.49244833,-0.092339277,
tjh,los,MLP,7,0,,,,,4.262665749,29.39599609,5.421807289,0.086015105,
tjh,los,MLP,8,0,,,,,5.237204075,50.859478,7.131583214,-0.077668548,
tjh,los,MLP,9,0,,,,,5.683834553,61.20239639,7.823195934,-0.095654011,
tjh,los,RETAIN,0,0,,,,,4.59814024,53.72365952,7.329642296,-0.313841939,
tjh,los,RETAIN,1,0,,,,,4.098302364,32.73171616,5.72116375,0.282961607,
tjh,los,RETAIN,2,0,,,,,4.336451054,34.98503876,5.914814949,0.281961501,
